chain,address,tx_total,avg_tx_per_day,avg_tx_per_block,max_tx_per_block,min_tx_per_block,std_tx_amount,tx_between_00_04,num_unique_counterparties,same_day_deposit_withdraw,most_common_amount
ETH,0xfc07f5f616193db30c70423d7d96217e2fb04682,748,5.5,1.0716,6,1,54.240827,0.0388,128,1,0.0
ETH,0x02542062cb0115df42915dd844a550c2519d4f7b,118,6.94,1.1683,5,1,13.948542,0.1102,39,1,0.0
ETH,0x7c74064a6f2a1307adec89f7ef0fb0c8588a310c,361,3.41,1.0556,3,1,0.943468,0.1662,111,1,0.0
ETH,0x5ea266de503d19cbc2c62777f076f0d4858e5dd5,171,3.98,1.1176,3,1,54.519728,0.1345,25,1,0.0
ETH,0x27073cd0d709d89c391af9767595d91c78ed43a7,2002,5.04,1.0615,8,1,6.6308,0.1878,387,1,0.0
ETH,0x4a66d1fb57d7779cbaf09346fc6875fa14d4e268,459,3.76,1.0177,3,1,2.169145,0.1525,119,1,0.0
ETH,0x473888e67636661062dad4cffc92a39437810313,2034,6.4,1.0409,6,1,0.364808,0.2655,432,1,0.0
ETH,0x5ba3750a16b1f63b2265a571bf8920e218f077a9,1179,3.11,1.0315,10,1,13.88207,0.2383,390,1,0.0
ETH,0x5c8ab76959fe2b207b8e0f653036222dcac787d4,154,2.61,1.0621,3,1,0.629293,0.2857,42,1,0.0
ETH,0xb1b5fe66152882dfcceb8662a2da879dd1e852b0,147,2.33,1.0576,2,1,0.10211,0.2517,77,1,0.0
ETH,0x053484a03d0bf1bf8b0206b1f457db93c022ee15,1135,14.37,1.0299,3,1,47.707435,0.1965,135,1,0.0
ETH,0xb547db62f54f55be59177a78250bfe0aa3d1180f,1618,9.81,1.0359,10,1,35.16712,0.2695,316,1,0.0
ETH,0x1c012b03f1c2dea274d2eeeb566b0eeabfe3af1a,3836,13.9,1.118,8,1,83.448094,0.0493,560,1,0.0
ETH,0x92cd915506ad281f9b5cb89b43c1f2afc84322f7,163,2.2,1.0449,2,1,0.341706,0.1472,56,1,0.0
ETH,0x35a5b48d079b48febe6da662b66f5d1c80ef0a45,845,4.49,1.0096,4,1,3.326578,0.0533,224,1,0.0
ETH,0xf7d0aeb9e65dba2d77f9d5bad86a55300607ab93,90,3.91,1.0345,2,1,2.286354,0.0,31,1,0.0
ETH,0x485356d65df969a603ec797e20fd93bb20fe9eda,1182,4.46,1.0396,10,1,26.284467,0.3832,249,1,0.0
ETH,0x5c4657e9950d3f120a2f94ad5eb66231e605ae48,118,5.13,1.0261,2,1,9.229796,0.1525,51,1,0.0
ETH,0x768f2a7ccdfde9ebdfd5cea8b635dd590cb3a3f1,6407,11.14,1.132,18,1,125.305858,0.2407,899,1,0.0
ETH,0x78101ac29231929918bcfd6b636119edb6dea7f4,68,6.8,1.0462,4,1,0.474029,0.1029,23,1,0.0
ETH,0xeb6b907c76327006fc5e186cf992aa3975cc5c7d,96,2.67,1.0213,2,1,6.428349,0.3333,17,1,0.0
ETH,0x084d083c15676b83c436404d80fca47edfad8c37,560,2.3,1.0332,5,1,0.139247,0.3571,199,1,0.0
ETH,0xecded8b1c603cf21299835f1dfbe37f10f2a29af,10000,13.32,1.0266,5,1,14.991978,0.2644,826,1,0.0
ETH,0x419e611842ca80d3f31c81175ec36d5ea5bff0eb,646,6.27,1.0678,6,1,465.121525,0.1904,84,1,0.0
ETH,0xf72ef59ed93c879240dccb559f7af4d91f10b169,176,3.14,1.0667,3,1,7.086472,0.358,71,1,0.0
ETH,0xbfb0d8b06ec79d5f2059209221b15644956e8261,991,6.08,1.0902,11,1,8.386351,0.2573,178,1,0.0
ETH,0x81f3543587c84aeb62c0272c1a9a7c196bf78e4d,33,1.43,1.0,1,1,2.383127,0.0909,20,1,0.0
ETH,0xe595932a6a4dfc463182a01479bfe2a852851fcc,134,2.85,1.0388,2,1,0.133056,0.1567,64,1,0.0
ETH,0xcad8daf1e928ef0867374e8dd21b15df54f122ab,261,2.29,1.0235,3,1,0.795629,0.1916,100,1,0.0
ETH,0x0cf0a5fcc1863a46283c1d07823595e523c98383,194,2.69,1.1548,20,1,0.319334,0.134,49,1,0.0
ETH,0x971324ced42cee3c5adba52bfbf4c8887397c68a,121,2.95,1.0168,3,1,0.221719,0.0579,37,1,0.0
ETH,0x2de9f9a80d94b023ed45053d6b9f611def236699,257,2.92,1.0405,3,1,0.736601,0.0545,65,1,0.0
ETH,0x9a51c0ccf4f9bac8bd9f30bbbc6e5099226da770,1676,7.62,1.0696,5,1,1.491187,0.1181,280,1,0.0
ETH,0x2051cf81501afc3620834e8acffe9616334efcf7,1215,3.37,1.0529,10,1,1.159965,0.2329,320,1,0.0
ETH,0xbd95fea6956679df3994ad8b5fd9a1306336cbef,205,4.27,1.0199,2,1,11.065142,0.1171,23,1,0.0
ETH,0x602a8f582b2e84a49f91899d6cdd36b825146637,1617,5.43,1.0339,4,1,1.66556,0.0037,351,1,0.0
ETH,0x6ac173554f54b1fc65342832493f04a1f15afbc9,112,4.15,1.1089,5,1,0.146009,0.1964,42,1,0.0
ETH,0xddd1a5009aac065ad3006aae8814cfa1c9dd5fcc,20,6.67,1.1765,2,1,0.264174,0.0,18,1,0.0
ETH,0x0f97258b5b506b210ba05f4c1f3c3cf84cc44496,3489,6.81,1.0359,4,1,9.077588,0.1026,445,1,0.0
ETH,0x3ae7974d38c1fd3a9be9c6ce0e0bd83ee458bad6,857,3.27,1.0118,2,1,2.166231,0.0968,285,1,0.0
ETH,0x8135908bbcb583d65978accfe3da6ca927185eb1,833,9.57,1.0932,5,1,134.075353,0.1921,138,1,0.0
ETH,0xf467180437e4899022849ca881c122e83ff1624e,2011,16.62,1.0579,10,1,4.364336,0.1253,289,1,0.0
ETH,0xf5ed6ccc1a5e7d326af37316e6187e5f26e77ece,1286,10.63,1.0507,7,1,16.40358,0.2846,184,1,0.0
ETH,0x2de10d24219aa8be3f03729a2c6716d3f1667068,10,2.5,1.0,1,1,0.025192,0.0,8,1,0.0
ETH,0x1445cbc4333df7a8cd1c234026d717e8e9163bfa,864,2.92,1.0105,3,1,3.229846,0.2454,136,1,0.0
ETH,0x945f4f35eb97a7baaac343e07de61e9697adddaa,2270,4.36,1.0394,6,1,0.316223,0.2841,335,1,0.0
ETH,0xb11c8ff272b84b3fda888f4f088356b636fbe57d,1207,4.75,1.1166,8,1,0.077458,0.3811,180,1,0.0
ETH,0x6a2b3d00983e0c31d50d23e474e53ef3096722ad,731,3.73,1.0687,12,1,3.097263,0.0424,179,1,0.0
ETH,0x3e9c9c7e0395758ff5391b1406f301890fdfe0c4,948,4.16,1.0161,2,1,7.205798,0.0643,315,1,0.0
ETH,0x2bb9f760473cd2695301ab8cf06931d61f0bd4d3,2146,4.29,1.008,3,1,2.849337,0.0028,417,1,0.0
ETH,0x7a741944a33ae62669b2a88672c4767279eb7d86,29,2.9,1.0741,2,1,0.733203,0.0,14,1,0.0
ETH,0xbfbc70b2119034209320e63f908ab2bd53225e79,115,3.11,1.0455,2,1,0.42072,0.3043,57,1,0.0
ETH,0xbf66679d2a5b4eab2619e4c1674fe4fb07e4f695,228,4.22,1.0133,2,1,4.494107,0.1754,77,1,0.0
ETH,0x071b8bc181ae7cb03f5faece9b5b8b25be9b0982,1841,9.59,1.0216,6,1,15.522843,0.1211,236,1,0.0
ETH,0xce9d5fdc295da5c25c5b216dedc30bc4b9247373,2842,7.02,1.0449,16,1,2.49981,0.1689,503,1,0.0
ETH,0x7e2dd8198437dab562b938ad203c311559fcb2f0,460,2.95,1.1165,4,1,0.276359,0.3543,75,1,0.0
ETH,0xf1c0dc910ecfb7260e97e79d9e89774dca231456,3233,12.02,1.0569,8,1,34.043167,0.2394,375,1,0.0
ETH,0x715a29e5b9835079d12fc470dd572ca7fdeba007,186,12.4,1.0751,3,1,0.948918,0.2688,57,1,0.0
ETH,0xe1b22a485696e30a23b8b53758d166706110caae,729,4.53,1.0097,2,1,40.180498,0.1523,170,1,0.0
ETH,0xb124d2d78d189b0d8bbf24fa4f8ea6e29b1530d1,159,2.89,1.0192,2,1,0.177337,0.2516,38,1,0.0
ETH,0xba766a08f0a126ed43b2699f722d2063e5fbb308,3196,7.65,1.0496,12,1,27.458758,0.1758,527,1,0.0
ETH,0x939323a652b17512a47f345f4c5189f70dae25af,912,5.12,1.0133,6,1,0.899725,0.2445,209,1,0.0
ETH,0x8bb2c483f67b5f5f1d1b25088b669bbfdd83cfa8,1197,25.47,1.0093,3,1,0.377966,0.1696,296,0,0.0
ETH,0xe2b284ae449c97a52a270ce8c23ca198d7dfab44,1037,8.57,1.0422,4,1,89.421506,0.0039,154,1,0.0
ETH,0x4caa392e12da1e86beb13d8daf76a49de658dd3f,60,2.14,1.0714,2,1,2.333327,0.1167,24,1,0.0
ETH,0x86a616b6f3d0a1bfe40f3f6496611a398497714b,669,2.07,1.0245,4,1,2.658189,0.284,205,1,0.0
ETH,0x27388bdbc5132d8348981c7f68a86326e4330ad3,3614,19.75,1.1106,13,1,0.595036,0.1765,567,1,0.0
ETH,0x587dd62a0158bb5e95d70950bd6c8ab025e4a95a,1455,9.39,1.0667,6,1,69.382049,0.2041,234,1,0.0
ETH,0x5c3a08a21b5c30fa7254fc8dac9e8d2e8cec8836,1865,12.11,1.0919,7,1,184.190183,0.3115,234,1,0.0
ETH,0x9fe8f74f030077fa2d68f83ebd0b1d4a01a4df06,30,2.73,1.0,1,1,0.484915,0.0333,15,1,0.0
ETH,0xf3f3c9d2a9a5d64c6afa637726af787a0ddb4b2e,42,4.67,1.0769,3,1,0.860373,0.1905,12,1,0.0
ETH,0xb5532ceb62ab83e4a0f1281f5cb9a019b16e1c12,2604,4.4,1.005,3,1,1.52726,0.2343,453,1,0.0
ETH,0x6dab381c27092db62f1e1abc86abe0c6d42e5e32,90,6.0,1.0843,2,1,3.41576,0.1111,26,1,0.0
ETH,0xde72bee71169cdd7b324da4307b8e75cb4376a6d,610,5.17,1.0777,13,1,24.655209,0.177,151,1,0.0
ETH,0xfb7dc9dfa5da4f720e4d1ec575f7beae883b4c62,90,5.29,1.0588,2,1,0.417414,0.2556,37,1,0.0
ETH,0xfab576ff46bd27b095a4eee4a293ecb0c41d5a85,445,5.56,1.0253,4,1,205.787349,0.3326,113,1,0.0
ETH,0xac523b124fdcf2033ec58743ff9181fc60da4e13,93,2.27,1.0109,2,1,0.263006,0.2151,45,1,0.0
ETH,0x0e75f6e1a3c8caacd9ee46fb5e54883aaaf58566,44,2.32,1.0233,2,1,0.405185,0.2045,18,1,0.0
ETH,0xdbbce24ceaf638669ab91eea9e990f942dad5403,193,4.39,1.0212,2,1,2.037362,0.0207,50,1,0.0
ETH,0xe8e3ba2550747860aa6897106c1260220fc72958,228,6.16,1.0,1,1,43.233056,0.0263,37,1,0.0
ETH,0x736907d727acb26962699f26ff3abfc5c7a1a1c3,409,10.22,1.0124,2,1,207.449869,0.2836,64,1,0.0
ETH,0xcfe47d74b8a281e9af45415d8c55dd8317339b87,65,2.5,1.0317,2,1,0.072245,0.0923,28,1,0.0
ETH,0x5583347e299dfe16247224797704e093caee28a1,2289,5.98,1.0219,4,1,16.20962,0.1734,372,1,0.0
ETH,0xfa68a2b3665b1ef3ce6d166b06dc0500f8e5472e,1208,3.95,1.0615,4,1,2.904647,0.1714,298,1,0.0
ETH,0x9d529339f76f0da057ce1fee0f2363385a565036,675,6.14,1.0135,2,1,2.017829,0.1022,119,1,0.0
ETH,0x53baf986fd2fea639a42003838b2f0c5b11309ba,493,3.71,1.0445,5,1,0.476598,0.1258,140,1,0.0
ETH,0xc9c5a0228fb686e9720ca24691e59e9410c52688,369,3.55,1.0821,7,1,77.353072,0.0488,118,1,0.0
ETH,0x8ff846049066443db5c238490099b6e7889af791,1142,3.63,1.0124,4,1,1.854398,0.0517,341,1,0.0
ETH,0x5c9cd3ca797fc1cc48766235986ab7074b202962,887,3.55,1.0278,12,1,15.131015,0.0552,235,1,0.0
ETH,0x35abbca84d7e6a4effd415d0d971b8de59c233f9,644,3.52,1.0387,3,1,0.75439,0.0093,243,1,0.0
ETH,0x9e5024936c16a00563c7266790398a07938541ac,1594,10.56,1.0251,12,1,3.046544,0.1844,220,1,0.0
ETH,0x445f67e6f2d63a40e5d62ed7d389f570269f8d4c,269,3.13,1.0228,5,1,16.980404,0.0929,69,1,0.0
ETH,0x5aa7a29c66e43926137700b4c3aef8dc1a9cb8e8,405,4.66,1.1035,4,1,14.257285,0.0025,104,1,0.0
ETH,0x1c5d12e12d104abc0e1942628bdf7caebb53581f,116,2.37,1.0087,2,1,0.897981,0.0517,52,1,0.0
ETH,0xf0e79065651940c091bbc6d60310b23de51304bd,185,3.78,1.1635,6,1,0.492886,0.0162,75,1,0.0
ETH,0x2d3366b72e61999ac148c27b65960243e969ded2,465,8.94,1.1286,8,1,8.69571,0.0688,116,1,0.0
ETH,0x83216735d2509be45fd6e5e3c0a8f4d9e16203c5,183,4.58,1.0765,6,1,8.629296,0.0546,41,1,0.0
ETH,0xb5107b80633a30be98fe2b471df10ed600f61887,647,5.35,1.0078,2,1,3.179465,0.1824,142,1,0.0
ETH,0xd8e6abf84f42cd280542a150258185be33eacd00,571,2.73,1.0251,3,1,0.674028,0.0035,228,1,0.0
ETH,0x1ef91043d3cdb315a5c97a03b843e6095ba6ea02,315,4.77,1.171,13,1,0.229235,0.0063,84,1,0.0
ETH,0x932ae0c0379cf0917fb0e435be956848932f6656,208,8.32,1.0777,4,1,15.680109,0.0529,63,1,0.0
ETH,0xbd0fc1715748bdc273c3e795cde47c074d224d0e,39,2.79,1.0,1,1,2.73005,0.0,20,1,0.0
ETH,0x12909cd6bd35378b2b97ca59ea98d88d64734100,205,3.2,1.0199,4,1,0.572437,0.0049,62,1,0.0
ETH,0x56f4917086950be81674f8e31d8793d6b4189784,499,3.37,1.0396,4,1,0.530036,0.1503,97,1,0.0
ETH,0x57fb6c359c8cf9caf0ec8beac0c8b944cb63d9b8,2379,5.49,1.0366,4,1,37.518976,0.2476,496,1,0.0
ETH,0xd9c47c0113abf140e72a947f5a7fa3921837cb68,1073,5.23,1.0142,4,1,0.798331,0.2106,242,1,0.0
ETH,0x12d964f702db7b301765c0066a04ec4fbdb59e3a,7574,12.08,1.0306,10,1,1.433031,0.2473,1526,1,0.0
ETH,0x665afaa276a99519b7e5b611b44c0a9e0db0396e,182,2.94,1.0168,2,1,2.052452,0.1758,74,1,0.0
ETH,0xf137f291e586eb003733587d29ffa7f7eb6869e6,139,4.79,1.0072,2,1,12.214542,0.3022,45,1,0.0
ETH,0x53b1941c5418c1ead023822c146e0858ff0ba2f3,452,6.11,1.0089,2,1,5.848387,0.208,97,1,0.0
ETH,0x73478cb9ec8ae3fcb535d07e34b0f2901f8bfbc3,229,2.97,1.0553,3,1,0.203179,0.4716,94,1,0.0
ETH,0xef66070409272e7aba2363d9cd2e7d6cb690b883,240,2.67,1.0213,2,1,0.66086,0.275,116,1,0.0
ETH,0x19246d4cb92671d0f2166d00c9de687ead3206f8,2021,5.93,1.086,12,1,1.726627,0.0831,362,1,0.0
ETH,0x5fb6e7e6cd299449a02fe47cccd5cb70ff9dc632,4215,8.62,1.116,11,1,11.015734,0.2192,612,1,0.0
ETH,0x1d06e1138f8225908d89013852bc1092af9f5abf,66,9.43,1.0154,2,1,3.33283,0.0909,21,1,0.0
ETH,0x2c5feaa0724de158d0c19b77c36da5385c67c1bd,46,1.84,1.0,1,1,0.020733,0.1957,31,1,0.0
ETH,0x3fe564836b2fba0a69e919ef4a7afd697b79aae1,105,7.5,1.0396,2,1,3.242788,0.0952,28,1,0.0
ETH,0xb83c28f8ecdec14457b4e53d051635546fd2a20a,207,5.17,1.0838,3,1,0.143741,0.0,72,1,0.0
ETH,0x2c44f485918b7e66d2ceb0c7c64e77312a2bda65,1278,5.44,1.0111,2,1,14.082971,0.2238,158,1,0.0
ETH,0x96314221d9f0c986c8976134484d48fd4d245700,70,8.75,1.2281,4,1,0.24406,0.0143,22,1,0.0
ETH,0x20074277f892404ee413753e01bac21a4f8d98c4,2235,9.68,1.1158,7,1,0.792247,0.2206,424,1,0.0
ETH,0x6bc91e959670fcba3ed4c3cf9b14336b5a34d546,19,3.8,1.5833,5,1,0.662107,0.0,9,1,0.0
ETH,0x83991eb46af016d7849bf6065b6ad40c4a031475,2411,5.22,1.0846,8,1,3.046194,0.1783,479,1,0.0
ETH,0x47fea52a4b79954fede50ee07b3f5d22696c8586,1893,4.15,1.0677,6,1,1.501917,0.3418,349,1,0.0
ETH,0x933ee631173b862941823b65db83fbf1a438fd22,695,3.62,1.0191,4,1,1.909946,0.046,206,1,0.0
ETH,0xf108a465a5dafb51bb48615b1a4f5e00401ff90d,660,8.25,1.1978,8,1,1602.87355,0.1561,71,1,0.0
ETH,0x1e2373f620ff85602e5292cc9d70439201b9db1b,278,5.25,1.1165,5,1,0.873347,0.241,93,1,0.0
ETH,0x3848cfcfe96d19473c06d59922b3ac480775eba3,108,3.27,1.0693,4,1,0.197524,0.1019,52,1,0.0
ETH,0xd542824e899c133ff40f9e012a69143556ba74f5,1246,6.74,1.0105,3,1,9.330352,0.2103,209,1,0.0
ETH,0x804604f55fe79ad0237696465c57d3de997c14c1,2302,3.42,1.0291,4,1,2.610771,0.1712,617,1,0.0
ETH,0x5be28e441f325d8b005839fd69695884f11da063,2047,5.53,1.0757,9,1,1.683074,0.0259,616,1,0.0
ETH,0x3bcc6667afa9e0fa7b2111ee689c605f0d8320ec,2247,6.87,1.0599,5,1,27.977867,0.1326,389,1,0.0
ETH,0x87616fa850c87a78f307878f32d808dad8f4d401,10000,45.87,1.1174,9,1,30.691513,0.0707,1315,1,0.0
ETH,0x2fd39f03828dc7a7bd208d1a644576d853fa9986,338,1.62,1.015,4,1,5.638611,0.1065,64,1,0.0
ETH,0x2c739a14553602ef605facf74d599d7cc017298d,278,5.67,1.0651,3,1,0.465963,0.0755,76,1,0.0
ETH,0xdc28638b66e60d919eac802365dae69f1b0a9dea,30,2.31,1.1111,2,1,0.300732,0.0667,19,1,0.0
ETH,0x4f46fc5b08ab0afa798c1ea165ef52429903ad16,401,5.14,1.1457,6,1,11.714639,0.0125,70,1,0.0
ETH,0xc13127982e79317ca98bb80c566e5c36110a3a80,37,2.47,1.0571,2,1,0.593017,0.1351,14,1,0.0
ETH,0xdff92a1d3c7832cbcc762ee5f326679dd801648e,7501,12.06,1.1307,10,1,26.294724,0.2257,563,1,0.0
ETH,0x7688b399c3237d098be4688d222d586ab5236451,1862,5.38,1.0598,7,1,50.479027,0.0129,377,1,0.0
ETH,0xda67c6423fcd8abea9a02ef515edfb62880d2738,517,4.58,1.0704,22,1,0.482723,0.3095,151,1,0.0
ETH,0x2f4e25f81725adc5385736c6643293e35d87f116,1059,8.61,1.0173,4,1,2.244534,0.1067,242,1,0.0
ETH,0x79f0167bf43a99617d16f2aeffda3209b4466926,1051,15.01,1.0274,3,1,1.94131,0.1408,238,1,0.0
ETH,0xf1e4586d6d12e8b2493bba94a00be0507fcdc5fa,1156,6.15,1.0377,3,1,2.321057,0.2076,185,1,0.0
ETH,0x662f6ef2092c126b6ee0da44e6b863f30971880d,4007,9.07,1.0413,5,1,1.045665,0.0586,985,1,0.0
ETH,0x54b55662901af57b31fb6b52af8175b652a5816e,857,3.01,1.0142,3,1,540.446162,0.217,202,1,0.0
ETH,0x6e148350f29951dda162993ab91d8089255b1741,2408,3.99,1.0071,3,1,7.391703,0.0955,434,1,0.0
ETH,0x09dfa9bc0faa770c5e5873442c97e0dd54ab3916,255,4.47,1.02,3,1,4.686863,0.298,61,1,0.0
ETH,0x7791ff01d06e7388bf1d467a02789bfae1da129a,308,3.08,1.0694,9,1,3.230661,0.039,90,1,0.0
ETH,0x46fc8a42b4b643401ff2bcad8c1b943535ebc1bb,1549,3.7,1.0131,3,1,11.503192,0.173,286,1,0.0
ETH,0x894808e2b4dbb8af32a8a0b33800218835df79e3,2452,17.64,1.0259,5,1,2.195246,0.0653,364,1,0.0
ETH,0xff18e262d17f0bb176417d30f4c50c7d6416963d,3343,16.71,1.1066,31,1,67.983607,0.122,245,1,0.0
ETH,0xebe2d8b11d05d0589474f884ba57e880e7ef6416,317,10.57,1.0673,3,1,20.136195,0.0379,80,1,0.0
ETH,0x1f0609168f8c955e914d89a19ffbb2859aee6d90,1291,5.4,1.179,33,1,13.417149,0.3323,260,1,0.0
ETH,0xc16f21ed39af5b91d8d7ac8eed57d12ac1831169,563,4.02,1.0108,2,1,2.328768,0.0036,160,1,0.0
ETH,0xace98df8e5a2d40e0a7b9ecf268d458a0baf6083,337,2.96,1.0498,5,1,1.038636,0.0415,95,1,0.0
ETH,0x8409daf0d03ea176823b3c7240dc28ce371b1f8d,2061,8.81,1.0457,7,1,2.781175,0.2023,345,1,0.0
ETH,0x12760d8ee7850391e32f8aeec9f0ab113985957a,1930,5.16,1.1035,6,1,4.681875,0.2337,424,1,0.0
ETH,0x4ba0233fa3e96c6e974335635fb957d77449a14e,742,5.26,1.0451,6,1,2.566559,0.3275,185,1,0.0
ETH,0xc129f74c5fbf2ca53f338c2b7a2f545adc37a012,1860,8.16,1.0293,4,1,43.085518,0.1855,263,1,0.0
ETH,0x3f169b8d3b46de1ca3562a607b23279f1b306ec5,1967,8.3,1.1013,20,1,8.753235,0.2552,338,1,0.0
ETH,0x183942a6f744cd8316d45574073f95ab0a49958f,222,1.87,1.0326,2,1,0.633238,0.2973,105,1,0.0
ETH,0x33466491396b52088bdfe1e4736112f313af5181,268,3.01,1.0469,3,1,0.68288,0.1418,87,1,0.0
ETH,0xd4b2ad0df50beaee9a2122bf905e67cd73d0d090,265,6.02,1.0685,4,1,53.325647,0.166,50,1,0.0
ETH,0x188e38d922d371cb3ad8857c0f0d367e1955043b,345,2.78,1.0237,2,1,0.121217,0.1942,82,1,0.0
ETH,0x7031ecce999f1d305cc48d07259d1d404a6b777e,480,5.45,1.0278,4,1,15.012439,0.225,96,1,0.0
ETH,0x0ca24a58bb5e831dc266a6a658995baacfcc1e09,606,11.22,1.2048,16,1,0.522971,0.1271,124,1,0.0
ETH,0xc6423efdfc0b74eb5f94ae018bbd01634a4051c4,2260,4.14,1.0845,16,1,6.603606,0.0385,630,1,0.0
ETH,0xe40a35702d7ba6d1047067399e586f1c9a6ea417,2344,4.51,1.0395,10,1,3.63638,0.0695,592,1,0.0
ETH,0xb3828f840f980a645203b727a5d468c20f8b7f23,328,4.05,1.025,2,1,0.765947,0.1037,94,1,0.0
ETH,0x4d955701d1e24cb1df0a32e4460766ae0dee4a91,1548,7.17,1.1283,16,1,1.421568,0.1124,481,1,0.0
ETH,0xb94fcca579a46fd7d49509e1614711e9b0320dc3,1272,5.6,1.1129,30,1,4.227542,0.2131,299,1,0.0
ETH,0xcbb02aa8507f53ac12a3a8767a2ac4f3fa7c8229,284,9.47,1.084,4,1,0.269364,0.3028,73,1,0.0
ETH,0x3ba5f4bf028b83631f41819636179b5b88c207e7,1334,9.67,1.1344,16,1,0.378779,0.0142,231,1,0.0
ETH,0xa81c0b8c73334f26db822f9028b60f1610f6a5f6,204,2.49,1.0251,2,1,0.362582,0.152,74,1,0.0
ETH,0x36cad6beb417dfc9e7feafb7b777437526184108,1257,4.8,1.1417,6,1,1.02898,0.1281,173,1,0.0
ETH,0x53fe88ceb39f23db1fcd4d6beb55965f6ac1764f,1817,4.7,1.0359,10,1,8.58626,0.2014,521,1,0.0
ETH,0x0ece7c1bfc9543b2cbea8f5577d02e5f59a9f176,7326,6.62,1.1807,11,1,3.480767,0.0771,1122,1,0.0
ETH,0x043267c67de999cb284853fd8901d80d11bc70de,459,4.21,1.0223,2,1,2.592978,0.4009,113,1,0.0
ETH,0xb114c4a4982e9f2463914a5a641699b36160c7d7,44,3.38,1.0476,2,1,1.487149,0.0455,19,1,0.0
ETH,0xb922542bbb1c734287da6cbba782189c419aca93,186,2.7,1.2483,18,1,0.745274,0.3226,55,1,0.0
ETH,0x344651a2445484bd2928eb46d2610daac1b42a66,3964,6.57,1.0476,8,1,14.677896,0.2399,719,1,0.0
ETH,0x4a98bf5d125027a11dcdc32909cafeec1299ba6f,2036,5.82,1.0278,10,1,0.695743,0.1238,403,1,0.0
ETH,0x11825c571b48d06e033eca251522f6d65610d99c,357,4.41,1.0259,2,1,1.146961,0.3669,114,1,0.0
ETH,0x10befac6e2d58b5786b75df9c6ddd5b4fbb1e40e,1180,6.56,1.0103,4,1,1.489326,0.0093,234,1,0.0
ETH,0x63e86c9c17841e227f978aaa1488f136fe7b68ea,1643,15.95,1.0167,3,1,14.227869,0.2009,288,1,0.0
